np_tag_id,record_id,table_id,title,description
1,1,1,"Australia",""
2,211,1,"2010-2012 (Donor)",""
3,212,1,"SDG_1_SUM",""
4,6895,1,"Australia to Afghanistan: SDG_1_SUM 3668782.0",""
5,6981,1,"Australia to Antigua and Barbuda: SDG_1_SUM 119982.0",""
6,7022,1,"Australia to Bangladesh: SDG_1_SUM 14390171.333",""
7,7066,1,"Australia to Barbados: SDG_1_SUM 1579240.833",""
8,7080,1,"Australia to Belize: SDG_1_SUM 281645.0",""
9,7141,1,"Australia to Bolivia: SDG_1_SUM 2064.5",""
10,7200,1,"Australia to Brazil: SDG_1_SUM 517596.0",""
11,7251,1,"Australia to Burundi: SDG_1_SUM 2440.0",""
12,7278,1,"Australia to Cambodia: SDG_1_SUM 4211101.0",""
13,7325,1,"Australia to Cameroon: SDG_1_SUM 15227.0",""
14,7420,1,"Australia to China: SDG_1_SUM 1696998.5",""
15,7467,1,"Australia to Colombia: SDG_1_SUM 12341.0",""
16,7526,1,"Australia to Cuba: SDG_1_SUM 119982.0",""
17,7540,1,"Australia to DR Congo: SDG_1_SUM 55793.5",""
18,7575,1,"Australia to Dominica: SDG_1_SUM 173974.0",""
19,7593,1,"Australia to Dominican Republic: SDG_1_SUM 119982.0",""
20,7609,1,"Australia to Ecuador: SDG_1_SUM 878.5",""
21,7692,1,"Australia to Eritrea: SDG_1_SUM 112555.5",""
22,7701,1,"Australia to Eswatini: SDG_1_SUM 93739.5",""
23,7732,1,"Australia to Ethiopia: SDG_1_SUM 34234.0",""
24,7772,1,"Australia to Fiji: SDG_1_SUM 5469299.0",""
25,7868,1,"Australia to Ghana: SDG_1_SUM 314273.5",""
26,7905,1,"Australia to Grenada: SDG_1_SUM 254805.5",""
27,7966,1,"Australia to Guyana: SDG_1_SUM 119982.0",""
28,7986,1,"Australia to Haiti: SDG_1_SUM 2142826.0",""
29,8013,1,"Australia to Honduras: SDG_1_SUM 1902.5",""
30,8038,1,"Australia to India: SDG_1_SUM 1978756.0",""
31,8088,1,"Australia to Indonesia: SDG_1_SUM 46716141.0",""
32,8157,1,"Australia to Iraq: SDG_1_SUM 3150917.0",""
33,8204,1,"Australia to Jamaica: SDG_1_SUM 200813.5",""
34,8257,1,"Australia to Kenya: SDG_1_SUM 578979.0",""
35,8298,1,"Australia to Kiribati: SDG_1_SUM 213854.5",""
36,8368,1,"Australia to Laos: SDG_1_SUM 5175702.0",""
37,8415,1,"Australia to Lebanon: SDG_1_SUM 182782.5",""
38,8451,1,"Australia to Lesotho: SDG_1_SUM 69940.0",""
39,8481,1,"Australia to Liberia: SDG_1_SUM 56097.0",""
40,8508,1,"Australia to Madagascar: SDG_1_SUM 65069.0",""
41,8531,1,"Australia to Malawi: SDG_1_SUM 310192.0",""
42,8572,1,"Australia to Malaysia: SDG_1_SUM 12376.0",""
43,8611,1,"Australia to Maldives: SDG_1_SUM 31656.0",""
44,8641,1,"Australia to Mali: SDG_1_SUM 8559.0",""
45,8660,1,"Australia to Marshall Islands: SDG_1_SUM 498859.0",""
46,8710,1,"Australia to Mauritius: SDG_1_SUM 31824.0",""
47,8762,1,"Australia to Micronesia: SDG_1_SUM 573220.0",""
48,8803,1,"Australia to Mongolia: SDG_1_SUM 352963.0",""
49,8868,1,"Australia to Mozambique: SDG_1_SUM 276105.5",""
50,8906,1,"Australia to Myanmar: SDG_1_SUM 1246861.0",""
51,8972,1,"Australia to Nauru: SDG_1_SUM 3718620.0",""
52,9013,1,"Australia to Nepal: SDG_1_SUM 4952360.5",""
53,9058,1,"Australia to New Zealand: SDG_1_SUM 277284.0",""
54,9132,1,"Australia to Nigeria: SDG_1_SUM 272011.5",""
55,9184,1,"Australia to Pakistan: SDG_1_SUM 13163736.0",""
56,9230,1,"Australia to Palau: SDG_1_SUM 246718.0",""
57,9269,1,"Australia to Palestine: SDG_1_SUM 13329082.0",""
58,9319,1,"Australia to Papua New Guinea: SDG_1_SUM 22792930.0",""
59,9369,1,"Australia to Paraguay: SDG_1_SUM 92466.0",""
60,9388,1,"Australia to Peru: SDG_1_SUM 2810.0",""
61,9426,1,"Australia to Philippines: SDG_1_SUM 10359556.5",""
62,9475,1,"Australia to Rwanda: SDG_1_SUM 42228.5",""
63,9505,1,"Australia to Saint Kitts and Nevis: SDG_1_SUM 173974.0",""
64,9513,1,"Australia to Saint Lucia: SDG_1_SUM 173974.0",""
65,9532,1,"Australia to Saint Vincent and the Grenadines: SDG_1_SUM 173974.0",""
66,9549,1,"Australia to Samoa: SDG_1_SUM 434605.5",""
67,9606,1,"Australia to Senegal: SDG_1_SUM 2734.5",""
68,9665,1,"Australia to Sierra Leone: SDG_1_SUM 83851.0",""
69,9688,1,"Australia to Solomon Islands: SDG_1_SUM 4045713.5",""
70,9765,1,"Australia to South Africa: SDG_1_SUM 1806461.5",""
71,9835,1,"Australia to Sri Lanka: SDG_1_SUM 84642.5",""
72,9881,1,"Australia to Sudan: SDG_1_SUM 172689.5",""
73,9908,1,"Australia to Suriname: SDG_1_SUM 119982.0",""
74,9955,1,"Australia to Tanzania: SDG_1_SUM 169433.5",""
75,9993,1,"Australia to Thailand: SDG_1_SUM 204836.0",""
76,10040,1,"Australia to Timor-Leste: SDG_1_SUM 5660009.0",""
77,10088,1,"Australia to Togo: SDG_1_SUM 25910.5",""
78,10104,1,"Australia to Tonga: SDG_1_SUM 474537.5",""
79,10152,1,"Australia to Trinidad and Tobago: SDG_1_SUM 80831.5",""
80,10190,1,"Australia to Tuvalu: SDG_1_SUM 151180.5",""
81,10231,1,"Australia to Uganda: SDG_1_SUM 1490366.0",""
82,10287,1,"Australia to United Kingdom: SDG_1_SUM 16814782.0",""
83,10352,1,"Australia to Vanuatu: SDG_1_SUM 7017835.0",""
84,10406,1,"Australia to Viet Nam: SDG_1_SUM 15285949.5",""
85,10468,1,"Australia to Zambia: SDG_1_SUM 243701.5",""
86,10504,1,"Australia to Zimbabwe: SDG_1_SUM 353285.5",""
87,213,1,"SDG_2_SUM",""
88,6896,1,"Australia to Afghanistan: SDG_2_SUM 29325091.0",""
89,6996,1,"Australia to Argentina: SDG_2_SUM 22677.0",""
90,7017,1,"Australia to Azerbaijan: SDG_2_SUM 227839.0",""
91,7023,1,"Australia to Bangladesh: SDG_2_SUM 12608910.5",""
92,7111,1,"Australia to Bhutan: SDG_2_SUM 908900.0",""
93,7142,1,"Australia to Bolivia: SDG_2_SUM 250288.0",""
94,7175,1,"Australia to Botswana: SDG_2_SUM 191786.0",""
95,7201,1,"Australia to Brazil: SDG_2_SUM 1165962.0",""
96,7252,1,"Australia to Burundi: SDG_2_SUM 446771.5",""
97,7279,1,"Australia to Cambodia: SDG_2_SUM 32715473.5",""
98,7326,1,"Australia to Cameroon: SDG_2_SUM 1113052.5",""
99,7371,1,"Australia to Central African Republic: SDG_2_SUM 771313.0",""
100,7388,1,"Australia to Chad: SDG_2_SUM 3483611.0",""
101,7421,1,"Australia to China: SDG_2_SUM 5562069.0",""
102,7541,1,"Australia to DR Congo: SDG_2_SUM 1874286.0",""
103,7610,1,"Australia to Ecuador: SDG_2_SUM 44989.5",""
104,7637,1,"Australia to Egypt: SDG_2_SUM 5345573.5",""
105,7669,1,"Australia to El Salvador: SDG_2_SUM 536579.0",""
106,7693,1,"Australia to Eritrea: SDG_2_SUM 1315.5",""
107,7702,1,"Australia to Eswatini: SDG_2_SUM 122435.0",""
108,7733,1,"Australia to Ethiopia: SDG_2_SUM 14471684.0",""
109,7773,1,"Australia to Fiji: SDG_2_SUM 5741226.0",""
110,7846,1,"Australia to Gambia: SDG_2_SUM 388197.0",""
111,7869,1,"Australia to Ghana: SDG_2_SUM 75578.5",""
112,7921,1,"Australia to Guatemala: SDG_2_SUM 1316683.0",""
113,7987,1,"Australia to Haiti: SDG_2_SUM 6995.0",""
114,8014,1,"Australia to Honduras: SDG_2_SUM 417815.5",""
115,8039,1,"Australia to India: SDG_2_SUM 10520707.5",""
116,8089,1,"Australia to Indonesia: SDG_2_SUM 43582452.0",""
117,8158,1,"Australia to Iraq: SDG_2_SUM 10601912.0",""
118,8222,1,"Australia to Jordan: SDG_2_SUM 4581.0",""
119,8258,1,"Australia to Kenya: SDG_2_SUM 16158141.0",""
120,8299,1,"Australia to Kiribati: SDG_2_SUM 1711379.0",""
121,8369,1,"Australia to Laos: SDG_2_SUM 11997608.0",""
122,8416,1,"Australia to Lebanon: SDG_2_SUM 64763.5",""
123,8452,1,"Australia to Lesotho: SDG_2_SUM 33619.5",""
124,8532,1,"Australia to Malawi: SDG_2_SUM 2240643.0",""
125,8573,1,"Australia to Malaysia: SDG_2_SUM 242037.5",""
126,8612,1,"Australia to Maldives: SDG_2_SUM 370.0",""
127,8642,1,"Australia to Mali: SDG_2_SUM 1552788.0",""
128,8661,1,"Australia to Marshall Islands: SDG_2_SUM 524045.0",""
129,8702,1,"Australia to Mauritania: SDG_2_SUM 388197.0",""
130,8733,1,"Australia to Mexico: SDG_2_SUM 4042.0",""
131,8763,1,"Australia to Micronesia: SDG_2_SUM 524045.0",""
132,8804,1,"Australia to Mongolia: SDG_2_SUM 1554.0",""
133,8869,1,"Australia to Mozambique: SDG_2_SUM 2055596.0",""
134,8907,1,"Australia to Myanmar: SDG_2_SUM 31400420.0",""
135,8973,1,"Australia to Nauru: SDG_2_SUM 942005.0",""
136,9014,1,"Australia to Nepal: SDG_2_SUM 4425103.0",""
137,9059,1,"Australia to New Zealand: SDG_2_SUM 1885225.0",""
138,9100,1,"Australia to Nicaragua: SDG_2_SUM 1198965.0",""
139,9116,1,"Australia to Niger: SDG_2_SUM 14125988.5",""
140,9133,1,"Australia to Nigeria: SDG_2_SUM 35080413.5",""
141,9169,1,"Australia to North Korea: SDG_2_SUM 6566324.0",""
142,9185,1,"Australia to Pakistan: SDG_2_SUM 33870981.5",""
143,9231,1,"Australia to Palau: SDG_2_SUM 526862.0",""
144,9270,1,"Australia to Palestine: SDG_2_SUM 289600.0",""
145,9320,1,"Australia to Papua New Guinea: SDG_2_SUM 32818638.5",""
146,9370,1,"Australia to Paraguay: SDG_2_SUM 830.5",""
147,9389,1,"Australia to Peru: SDG_2_SUM 191298.5",""
148,9427,1,"Australia to Philippines: SDG_2_SUM 10132529.0",""
149,9476,1,"Australia to Rwanda: SDG_2_SUM 429263.0",""
150,9550,1,"Australia to Samoa: SDG_2_SUM 4533688.0",""
151,9607,1,"Australia to Senegal: SDG_2_SUM 1562088.5",""
152,9650,1,"Australia to Seychelles: SDG_2_SUM 7090.5",""
153,9666,1,"Australia to Sierra Leone: SDG_2_SUM 8687.0",""
154,9689,1,"Australia to Solomon Islands: SDG_2_SUM 10864456.0",""
155,9737,1,"Australia to Somalia: SDG_2_SUM 31011707.0",""
156,9766,1,"Australia to South Africa: SDG_2_SUM 14119456.0",""
157,9809,1,"Australia to South Sudan: SDG_2_SUM 12412144.0",""
158,9836,1,"Australia to Sri Lanka: SDG_2_SUM 7831416.8333",""
159,9882,1,"Australia to Sudan: SDG_2_SUM 1016697.0",""
160,9924,1,"Australia to Syria: SDG_2_SUM 1542626.0",""
161,9956,1,"Australia to Tanzania: SDG_2_SUM 2693055.5",""
162,9994,1,"Australia to Thailand: SDG_2_SUM 1397615.5",""
