np_tag_id,record_id,table_id,title,description
1,1,1,"Afghanistan",""
2,2,1,"2000",""
3,3,1,"1.1.1",""
4,4,1,"SI_POV_DAY1",""
5,5,1,"ChildALLAREABOTHSEX",""
6,6,1,"ElderlyALLAREABOTHSEX",""
7,7,1,"ALLAREABOTHSEX",""
8,8,1,"ALLAREAFEMALE",""
9,9,1,"ALLAREAMALE",""
10,10,1,"RURALBOTHSEX",""
11,11,1,"URBANBOTHSEX",""
12,12,1,"SI_POV_EMP1",""
13,14,1,"AdultFEMALE",""
14,15,1,"AdultMALE",""
15,16,1,"Young AdultBOTHSEX",""
16,17,1,"Young AdultFEMALE",""
17,18,1,"Young AdultMALE",""
18,19,1,"1.4.1",""
19,20,1,"SP_ACS_BSRVH2O",""
20,21,1,"RURAL",""
21,22,1,"URBAN",""
22,23,1,"SP_ACS_BSRVSAN",""
23,25,1,"RURAL",""
24,26,1,"URBAN",""
25,27,1,"13.1.1",""
26,28,1,"VC_DSR_AFFCT",""
27,29,1,"VC_DSR_DAFF",""
28,31,1,"VC_DSR_IJILN",""
29,33,1,"VC_DSR_MISS",""
30,35,1,"VC_DSR_MMHN",""
31,37,1,"VC_DSR_MORT",""
32,39,1,"VC_DSR_MTMP",""
33,41,1,"VC_DSR_PDAN",""
34,43,1,"VC_DSR_PDLN",""
35,45,1,"VC_DSR_PDYN",""
36,47,1,"13.1.2",""
37,48,1,"SG_DSR_LGRGSR",""
38,49,1,"17.1.1",""
39,50,1,"GR_G14_GDP",""
40,51,1,"GR_G14_XDC",""
41,53,1,"17.1.2",""
42,54,1,"GC_GOB_TAXD",""
43,55,1,"6.1.1",""
44,56,1,"SH_H2O_SAFE",""
45,57,1,"RURAL",""
46,58,1,"URBAN",""
47,59,1,"6.2.1",""
48,60,1,"SH_SAN_DEFECT",""
49,61,1,"RURAL",""
50,62,1,"URBAN",""
51,63,1,"SH_SAN_HNDWSH",""
52,65,1,"RURAL",""
53,66,1,"URBAN",""
54,67,1,"SH_SAN_SAFE",""
55,69,1,"RURAL",""
56,70,1,"URBAN",""
57,71,1,"6.4.1",""
58,72,1,"ER_H2O_WUEYST",""
59,73,1,"INDUSTRIES",""
60,74,1,"ISIC4_A01_A0210_A0322",""
61,75,1,"ISIC4_GTT",""
62,76,1,"2005",""
63,77,1,"1.1.1",""
64,78,1,"SI_POV_DAY1",""
65,79,1,"ChildALLAREABOTHSEX",""
66,80,1,"ElderlyALLAREABOTHSEX",""
67,81,1,"ALLAREABOTHSEX",""
68,82,1,"ALLAREAFEMALE",""
69,83,1,"ALLAREAMALE",""
70,84,1,"RURALBOTHSEX",""
71,85,1,"URBANBOTHSEX",""
72,86,1,"SI_POV_EMP1",""
73,88,1,"AdultFEMALE",""
74,89,1,"AdultMALE",""
75,90,1,"Young AdultBOTHSEX",""
76,91,1,"Young AdultFEMALE",""
77,92,1,"Young AdultMALE",""
78,93,1,"1.4.1",""
79,94,1,"SP_ACS_BSRVH2O",""
80,95,1,"RURAL",""
81,96,1,"URBAN",""
82,97,1,"SP_ACS_BSRVSAN",""
83,99,1,"RURAL",""
84,100,1,"URBAN",""
85,101,1,"13.1.1",""
86,102,1,"VC_DSR_AFFCT",""
87,103,1,"VC_DSR_DAFF",""
88,105,1,"VC_DSR_IJILN",""
89,107,1,"VC_DSR_MISS",""
90,109,1,"VC_DSR_MMHN",""
91,111,1,"VC_DSR_MORT",""
92,113,1,"VC_DSR_MTMP",""
93,115,1,"VC_DSR_PDAN",""
94,117,1,"VC_DSR_PDLN",""
95,119,1,"VC_DSR_PDYN",""
96,121,1,"13.1.2",""
97,122,1,"SG_DSR_LGRGSR",""
98,123,1,"17.1.1",""
99,124,1,"GR_G14_GDP",""
100,125,1,"GR_G14_XDC",""
101,127,1,"17.1.2",""
102,128,1,"GC_GOB_TAXD",""
103,129,1,"6.1.1",""
104,130,1,"SH_H2O_SAFE",""
105,131,1,"RURAL",""
106,132,1,"URBAN",""
107,133,1,"6.2.1",""
108,134,1,"SH_SAN_DEFECT",""
109,135,1,"RURAL",""
110,136,1,"URBAN",""
111,137,1,"SH_SAN_HNDWSH",""
112,139,1,"RURAL",""
113,140,1,"URBAN",""
114,141,1,"SH_SAN_SAFE",""
115,143,1,"RURAL",""
116,144,1,"URBAN",""
117,145,1,"6.4.1",""
118,146,1,"ER_H2O_WUEYST",""
119,147,1,"INDUSTRIES",""
120,148,1,"ISIC4_A01_A0210_A0322",""
121,149,1,"ISIC4_GTT",""
122,150,1,"2010",""
123,151,1,"1.1.1",""
124,152,1,"SI_POV_DAY1",""
125,153,1,"ChildALLAREABOTHSEX",""
126,154,1,"ElderlyALLAREABOTHSEX",""
127,155,1,"ALLAREABOTHSEX",""
128,156,1,"ALLAREAFEMALE",""
129,157,1,"ALLAREAMALE",""
130,158,1,"RURALBOTHSEX",""
131,159,1,"URBANBOTHSEX",""
132,160,1,"SI_POV_EMP1",""
133,162,1,"AdultFEMALE",""
134,163,1,"AdultMALE",""
135,164,1,"Young AdultBOTHSEX",""
136,165,1,"Young AdultFEMALE",""
137,166,1,"Young AdultMALE",""
138,167,1,"1.4.1",""
139,168,1,"SP_ACS_BSRVH2O",""
140,169,1,"RURAL",""
141,170,1,"URBAN",""
142,171,1,"SP_ACS_BSRVSAN",""
143,173,1,"RURAL",""
144,174,1,"URBAN",""
145,175,1,"13.1.1",""
146,176,1,"VC_DSR_AFFCT",""
147,177,1,"VC_DSR_DAFF",""
148,179,1,"VC_DSR_IJILN",""
149,181,1,"VC_DSR_MISS",""
150,183,1,"VC_DSR_MMHN",""
151,185,1,"VC_DSR_MORT",""
152,187,1,"VC_DSR_MTMP",""
153,189,1,"VC_DSR_PDAN",""
154,191,1,"VC_DSR_PDLN",""
155,193,1,"VC_DSR_PDYN",""
156,195,1,"13.1.2",""
157,196,1,"SG_DSR_LGRGSR",""
158,197,1,"17.1.1",""
159,198,1,"GR_G14_GDP",""
160,199,1,"GR_G14_XDC",""
