name,id,lat,lon,population,number,score,parent_country,success,is_altername
North,0000217751,33.61571,-81.10204,742,12.0,1.0,USA,True,False
South Carolina,0000212864,33.836081,-81.1637245,5118425,1.0,1.0,USA,True,False
Tennessee,0000213316,35.5174913,-86.5804473,6910840,2.0,1.0,USA,True,False
Kentucky,0000203439,37.8393332,-84.2700179,4505836,3.0,1.0,USA,True,False
North Carolina,0000209473,35.7595731,-79.0192997,10439388,13.0,1.0,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,8.0,0.10478800580364345,USA,True,False
Denver,0000199328,39.73915,-104.9847,715522,10.0,0.2702702702702703,USA,True,False
Skyland Estates,0000217964,38.92317,-78.08222,830,14.0,1.0,USA,True,False
Fort Lauderdale,0000200020,26.12231,-80.14338,182760,14.0,1.0,USA,True,False
Broward County,0000199872,26.15186,-80.45589,1944375,3.0,1.0,USA,True,False
Hollywood,0000198549,34.09834,-118.32674,167664,15.0,0.35714285714285715,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,8.0,0.5628344237673027,USA,True,False
Miami Beach,0000200259,25.79065,-80.13005,92312,13.0,1.0,USA,True,False
Dania Beach,0000199955,26.05231,-80.14393,31446,16.0,1.0,USA,True,False
Lauderhill,0000200200,26.14036,-80.21338,71579,17.0,1.0,USA,True,False
Macon,0000200949,32.84069,-83.6324,2616,8.0,0.29154518950437314,USA,True,False
Madison,0000197357,34.69926,-86.74833,503,6.0,0.06134969325153373,USA,True,False
Transylvania County,0000209960,35.20215,-82.7983,32986,9.0,1.0,USA,True,False
Jackson,0000197326,31.50905,-87.89444,10523,7.0,0.0689655172413793,USA,True,False
Unicoi,0000213673,36.19539,-82.34958,3561,,,USA,True,False
Somerset,0000195045,51.105097,-2.9262307,1000000,,,GBR,True,False
Wiltshire,0000195379,51.3491996,-1.9927105,1000000,,,GBR,True,False
Bristol,0000191756,51.45523,-2.59665,567111,,,GBR,True,False
Bath,0000191529,51.3751,-2.36172,94782,,,GBR,True,False
Keynsham,0000192838,51.41387,-2.4978,15641,,,GBR,True,False
Huron,0000198559,36.20273,-120.10292,6836,1.0,0.35714285714285715,USA,True,False
Dallas County,0000197232,32.32597,-87.10648,0,,,USA,True,False
Navajo,0000208351,35.90001,-109.03398,2087,,,USA,True,False
Chicago,0000201570,41.85003,-87.65005,2746388,22.0,1.0,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,23.0,0.3845039012357364,USA,True,False
Nevada,0000207415,38.8026097,-116.419389,1000000,2.0,0.3403141361256544,USA,True,False
San Diego,0000198980,32.71571,-117.16472,1394928,6.0,0.6764541006613759,USA,True,False
Bakersfield,0000198187,35.37329,-119.01871,403455,7.0,1.0,USA,True,False
Fresno,0000198485,36.74773,-119.77237,520052,8.0,0.5524861878453039,USA,True,False
Paso Robles,0000198865,35.62664,-120.691,27157,9.0,1.0,USA,True,False
Monterey,0000198766,36.60024,-121.89468,28338,10.0,0.38167938931297707,USA,True,False
Stockton,0000199094,37.9577,-121.29078,642,12.0,0.2702702702702703,USA,True,False
Sacramento,0000198965,38.58157,-121.4944,524943,19.0,1.0,USA,True,False
Palm Springs,0000198852,33.8303,-116.54529,47371,16.0,0.5263157894736842,USA,True,False
Eureka,0000198449,40.80207,-124.16367,1074,17.0,0.198019801980198,USA,True,False
San Joaquin,0000198988,36.60662,-120.18904,4022,20.0,1.0,USA,True,False
Shasta,0000199047,40.59932,-122.49196,1771,24.0,1.0,USA,True,False
Oroville,0000198843,39.51394,-121.55776,1677,25.0,0.5263157894736842,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,0.0,0.2258905299739357,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,1.0,1.0,USA,True,False
Kansas,0000203119,39.011902,-98.4842465,1000000,2.0,0.4318936877076412,USA,True,False
Nebraska,0000207176,41.4925374,-99.9018131,1961504,3.0,1.0,USA,True,False
Kansas,0000203119,39.011902,-98.4842465,1000000,27.0,0.4318936877076412,USA,True,False
Wichita,0000203432,37.69224,-97.33754,397532,13.0,1.0,USA,True,False
Eudora,0000197922,33.10957,-91.26206,6378,6.0,0.5263157894736842,USA,True,False
Overland Park,0000203348,38.98223,-94.67079,186515,7.0,1.0,USA,True,False
Missouri,0000206502,37.9642529,-91.8318334,6154913,20.0,1.0,USA,True,False
Oklahoma,0000210920,35.4675602,-97.5164276,1000000,11.0,0.4318936877076412,USA,True,False
Kansas City,0000203267,39.11417,-94.62746,475378,14.0,0.5263157894736842,USA,True,False
Kentucky,0000203439,37.8393332,-84.2700179,4505836,23.0,1.0,USA,True,False
Lenexa,0000203286,38.95362,-94.73357,52490,26.0,1.0,USA,True,False
Pierce,0000207344,42.19917,-97.52672,1845,1.0,1.0,USA,True,False
Ware,0000205167,42.25981,-72.2398,6170,2.0,1.0,USA,True,False
Ware County,0000201144,31.05363,-82.42368,36251,4.0,1.0,USA,True,False
Pierce County,0000201020,31.35876,-82.21274,0,6.0,0.2,USA,True,False
Fort Myers,0000200022,26.62168,-81.84059,86395,3.0,1.0,USA,True,False
Lee County,0000197342,32.60114,-85.35556,0,2.0,0.08333333333333333,USA,True,False
