record_id,table_id,title,description
1,11,wildfire,Fires and flooding recovery keep FEMA active across North Carolina
2,11,flood,"Torrential storms batter South Florida, close key airport"
3,11,winter storm,"High Wind Warning issued for Blount Smoky Mountains, Cocke Smoky Mountains by NWS - NewsBreak"
4,11,winter storm,"Wind Advisory issued for Buchanan, Dickenson by NWS - NewsBreak"
5,11,cyclone,News Wrap: U.S. takes down unidentified object over Lake Huron
6,11,tornado,Morning Smile: Prattville kindergarten seeks Valentine's Day cards - clipped version - NewsBreak
7,11,winter storm,Violinist's album honors the underground effort to keep jazz alive after Stalin's ban
8,11,drought,Brazil is on its way to being the world's largest exporter of maize
9,11,drought,Column: Rains and flooding leave claims of California drought high and dry
10,11,drought,Spring flood outlook below normal due to ongoing drought
11,11,flood,KS bills ban gender-affirming care and bar trans women from female designated spaces
12,11,flood,Coastal Flood Advisory issued for St.Thomas...St. John.. and Adjacent Islands by NWS - NewsBreak
13,11,flood,FEMA delays leave many Hurricane Ian victims exasperated nearly five months after the disastrous storm - Local News 8
14,11,drought,Maserati Levante in California: the climate emergency
15,11,tornado,Severe Weather Preparedness Week: Thunderstorm Safety - NewsBreak
16,11,cyclone,"5 things to know for Feb. 13: Super Bowl, Objects, Earthquake, Cyclone, Immigration - KTVZ"
17,11,flood,NO MAJOR FLOOD CONCERNS ON UPPER MISSOURI RIVER REGION - KSCJ 1360
18,11,landslide,Video shows major storm damage to roads in the Santa Cruz Mountains
19,11,wildfire,Travis County to build Steiner Ranch evacuation route more than a decade after devastating fire
20,11,drought,Nebraska couple creates their own opportunities in agriculture
21,11,drought,‘And she is back!’: Fans in awe of Rihanna’s Super Bowl Halftime show
22,11,volcanic eruption,Volcanoes Fast Facts - KTVZ
23,11,winter storm,"Blizzard conditions expected to miss Bismarck-Mandan, but midweek cold snap expected"
24,11,winter storm,Denver weather: Winter storm approaching
25,11,wildfire,NWS says part of West Virginia is under elevated wildfire risk
26,11,flood,Social media responds to three UFO sightings in three days 
27,11,wildfire,California Lost 36 Million Trees to Drought Last Year
28,11,cyclone,"Tesla, superbowl crash spot against car Elon Musk/ 我Autopilot is threatening safety"
29,11,winter storm,"MOST ACCURATE FORECAST: Back-to-back storms bring more wind, rain, snow and colder temperatures!"
30,11,flood,"Natural disasters displaced millions of Americans in 2022, data reveals"
31,11,winter storm,"Winter storm to bring some snow, gusty winds and cold temps"
32,11,winter storm,Impact Day: Winter storm moves through New Mexico today - NewsBreak
33,11,tornado,"Two Dallas Schools Damaged, Destroyed By 2019 Tornado Reopen"
34,11,flood,"Tornado Watch issued for Adams, Amite, Attala, Carroll, Claiborne, Copiah, Covington by NWS - NewsBreak"
35,11,flood,The Illinois Treasurer's office has a program to help small nonprofits across Illinois - NewsBreak
36,11,cyclone,Cyclones Fall in Morgantown
37,11,winter storm,"Winter weather moving in, already seeing sleet in the mountains"
38,11,drought,"Kadarius Toney: ‘God’s got a plan, I just stick to it’"
39,11,flood,"Trump's in, Haley's getting in – How about DeSantis? Pence? Others? How large a GOP 2024 field will we see?"
40,11,winter storm,Wyoming Wildlife photo contest winners announced - NewsBreak
41,11,drought,Emergency Loans for MN Farmers Approved
42,11,winter storm,"Messy Midweek Outlook; Quieter by the Weekend – Storm Center PM Update: Monday, February 13"
